"datasetName","decimalLongitude","decimalLatitude","depth","scientificName","BO_bathymean","BO2_curvelmean_bdmax","BO2_dissoxltmax_bdmax","BO2_salinitymean_bdmax","BO2_tempmean_ss","BO_calcite","BO21_tempmean_bdmax"
"gbif",153.566667,-27.4,NA,"Paracanthurus hepatus",-41,0.411319375038147,211.71614074707,35.5620498657227,23.453031539917,0.000246999989030883,22.9215145111084
"gbif",153.628374,-28.611278,NA,"Paracanthurus hepatus",-16,0.465588241815567,217.718673706055,35.5450782775879,23.306812286377,0.000561000022571534,23.0483856201172
"gbif",39.367944,-4.656524,NA,"Paracanthurus hepatus",-8,0.765202760696411,210.23828125,35.1447715759277,27.257152557373,0.002125000115484,27.135347366333
"gbif",148.440796,-17.636875,NA,"Paracanthurus hepatus",-58,0.0276638343930244,213.634994506836,35.26025390625,26.4816246032715,7.00000018696301e-05,25.2409629821777
"gbif",122.000931,25.015492,NA,"Paracanthurus hepatus",-130,0.394714415073395,174.652160644531,34.6413269042969,25.1153202056885,0.000792999984696507,15.7553291320801
"gbif",39.307294,-6.353158,NA,"Paracanthurus hepatus",-13,0.75680536031723,210.315078735352,35.1163558959961,27.435661315918,0.00320499995723367,26.7161979675293
"gbif",118.86434,4.595825,NA,"Paracanthurus hepatus",-126,0.481099367141724,155.423095703125,34.6410522460938,29.0346527099609,0.00039999998989515,18.5035228729248
"gbif",147.699192,-18.287067,NA,"Paracanthurus hepatus",-799,0.0553791932761669,184.339721679688,34.4523277282715,26.4190483093262,5.50000004295725e-05,5.0772180557251
"gbif",144.10688,-13.64735,NA,"Paracanthurus hepatus",-44,0.161173567175865,210.904434204102,35.2478675842285,26.6196517944336,0.00991300027817488,25.6653537750244
"gbif",116.065861,-8.349668,NA,"Paracanthurus hepatus",-68,0.0398288555443287,116.022148132324,34.5070762634277,28.6058597564697,0.000161999996635132,10.5088748931885
"gbif",121.490278,22.680278,NA,"Paracanthurus hepatus",-353,0.0150900781154633,82.863151550293,34.3703765869141,27.1570110321045,7.79999973019585e-05,4.68796730041504
"gbif",153.579109,-28.196141,NA,"Paracanthurus hepatus",-11,0.52519828081131,222.817901611328,35.5009346008301,23.4114856719971,0.000419999996665865,23.7964630126953
"gbif",127.403891,26.189035,NA,"Paracanthurus hepatus",-18,0.0190070308744907,221.489181518555,34.6979866027832,25.3298816680908,9.30000023799948e-05,22.597749710083
"gbif",55.21915,-21.05823,18,"Paracanthurus hepatus",-17,0.0349890142679214,194.844772338867,35.5377540588379,26.0160045623779,0.000100999997812323,19.0015392303467
"gbif",130.555722,-2.244373,NA,"Paracanthurus hepatus",-52,0.0561526603996754,154.726699829102,34.6774635314941,28.76393699646,0.000153999993926845,23.1281261444092
"gbif",115.544423,-8.727807,NA,"Paracanthurus hepatus",-196,0.0802321955561638,139.774642944336,34.5151672363281,28.0395011901855,7.69999969634227e-05,15.5650987625122
"gbif",130.567717,-2.204717,NA,"Paracanthurus hepatus",-52,0.0561526603996754,154.726699829102,34.6774635314941,28.76393699646,0.000153999993926845,23.1281261444092
"gbif",153.26482,-30.20432,NA,"Paracanthurus hepatus",-54,0.532558977603912,214.80403137207,35.5704956054688,22.6649379730225,0.000241000001551583,22.2523441314697
"gbif",152.707481,-24.113638,NA,"Paracanthurus hepatus",-35,0.131456881761551,214.25471496582,35.4804916381836,24.3669967651367,0.00019399999291636,24.114278793335
"gbif",145.579965,15.022028,NA,"Paracanthurus hepatus",-717,0.00590332131832838,85.9150161743164,34.558837890625,28.8430824279785,4.99999987368938e-05,3.60652136802673
"gbif",39.382532,-5.816751,NA,"Paracanthurus hepatus",-20,0.542921006679535,161.343154907227,35.2669258117676,27.4194793701172,0.0370430015027523,18.1198902130127
"gbif",39.465298,-5.840112,NA,"Paracanthurus hepatus",-185,0.157079622149467,171.388610839844,34.8612098693848,27.4304485321045,0.000119999996968545,10.3567705154419
"gbif",128.521111,27.388889,NA,"Paracanthurus hepatus",-34,0.0247102323919535,166.171951293945,34.391284942627,24.7311267852783,5.90000017837156e-05,11.9599008560181
"gbif",152.70794,-24.116345,NA,"Paracanthurus hepatus",-35,0.131456881761551,214.25471496582,35.4804916381836,24.3669967651367,0.00019399999291636,24.114278793335
"gbif",179.110489,-17.076469,NA,"Paracanthurus hepatus",-492,0.00418761745095253,160.634017944336,34.5191764831543,27.3527488708496,0.00017699999443721,3.42849612236023
"gbif",179.109836,-17.077753,NA,"Paracanthurus hepatus",-492,0.00418761745095253,160.634017944336,34.5191764831543,27.3527488708496,0.00017699999443721,3.42849612236023
"gbif",105.668707,-10.423094,NA,"Paracanthurus hepatus",-490,0.00233455048874021,129.550720214844,34.7309532165527,28.0155086517334,6.29999994998798e-05,2.74258732795715
"gbif",153.389246,-29.927833,NA,"Paracanthurus hepatus",-41,0.531189799308777,217.190979003906,35.5721549987793,22.6473865509033,0.000358999997843057,22.8512344360352
"gbif",105.660447,-10.3931,NA,"Paracanthurus hepatus",-1168,0.00480632064864039,159.485595703125,34.7351837158203,28.0154476165771,7.30000028852373e-05,1.71201062202454
"gbif",119.529705,-8.481814,NA,"Paracanthurus hepatus",-57,0.0103750312700868,133.865447998047,34.5328941345215,28.2726917266846,9.69999964581802e-05,13.4914283752441
"gbif",158.200635,-8.612647,NA,"Paracanthurus hepatus",-351,0.00316298613324761,154.171783447266,34.5068702697754,29.4330959320068,0.000101999998150859,4.35035371780396
"gbif",124.737952,1.615687,NA,"Paracanthurus hepatus",-54,0.0206350218504667,125.429206848145,34.5335502624512,29.2531204223633,0.000140999996801838,6.98650455474854
