"datasetName","decimalLongitude","decimalLatitude","depth","scientificName"
"gbif",39.302137,-4.696106,NA,"Paracanthurus hepatus"
"gbif",134.325512,7.208062,NA,"Paracanthurus hepatus"
"gbif",130.512526,-1.98598,NA,"Paracanthurus hepatus"
"gbif",119.809642,9.046518,NA,"Paracanthurus hepatus"
"gbif",166.17472,-22.28083,NA,"Paracanthurus hepatus"
"gbif",166.439674,-22.500048,NA,"Paracanthurus hepatus"
"gbif",55.32673,-21.26426,NA,"Paracanthurus hepatus"
"gbif",105.667916,-10.427722,NA,"Paracanthurus hepatus"
"gbif",153.483006,-27.12496,NA,"Paracanthurus hepatus"
"gbif",153.388269,-29.930942,NA,"Paracanthurus hepatus"
"gbif",147.069382,-18.615888,NA,"Paracanthurus hepatus"
"gbif",55.365962,-4.640543,NA,"Paracanthurus hepatus"
"gbif",119.718638,-8.510152,NA,"Paracanthurus hepatus"
"gbif",-179.804345,-16.77457,NA,"Paracanthurus hepatus"
"gbif",119.524384,-8.556578,NA,"Paracanthurus hepatus"
"gbif",145.982423,-16.463107,NA,"Paracanthurus hepatus"
"gbif",105.561202,-10.445373,NA,"Paracanthurus hepatus"
"gbif",118.63277,4.117837,NA,"Paracanthurus hepatus"
"gbif",145.981561,-16.464717,NA,"Paracanthurus hepatus"
"gbif",57.532499,-20.034162,NA,"Paracanthurus hepatus"
"gbif",145.867344,-16.041292,NA,"Paracanthurus hepatus"
"gbif",153.485503,-26.978817,NA,"Paracanthurus hepatus"
"gbif",-149.87278,-17.48806,NA,"Paracanthurus hepatus"
"gbif",55.22583,-21.02472,NA,"Paracanthurus hepatus"
"gbif",153.485586,-26.977668,NA,"Paracanthurus hepatus"
"gbif",166.441719,-22.49524,NA,"Paracanthurus hepatus"
"gbif",35.500953,-21.808621,NA,"Paracanthurus hepatus"
"gbif",119.630833,-8.557222,NA,"Paracanthurus hepatus"
"gbif",145.856336,-16.023588,NA,"Paracanthurus hepatus"
"gbif",145.86221,-16.2423,NA,"Paracanthurus hepatus"
"gbif",127.288501,26.219126,NA,"Paracanthurus hepatus"
"gbif",153.484513,-26.976818,NA,"Paracanthurus hepatus"
"gbif",125.585529,-8.221842,NA,"Paracanthurus hepatus"
